sku_id,category,week,price,competitor_price,cost,promo,units_sold
SKU-000001,Apparel,0,107.24,119.51,59.39,0,231
SKU-000001,Apparel,1,93.98,129.43,59.39,0,315
SKU-000001,Apparel,2,111.52,110.78,59.39,0,212
SKU-000001,Apparel,3,110.79,112.8,59.39,0,216
SKU-000001,Apparel,4,97.16,117.85,59.39,0,251
SKU-000001,Apparel,5,104.21,110.0,59.39,0,203
SKU-000001,Apparel,6,113.47,122.69,59.39,0,240
SKU-000001,Apparel,7,117.49,120.93,59.39,0,268
SKU-000001,Apparel,8,125.48,112.31,59.39,0,212
SKU-000001,Apparel,9,115.89,124.68,59.39,0,229
SKU-000001,Apparel,10,103.96,99.4,59.39,1,369
SKU-000001,Apparel,11,105.0,127.57,59.39,0,302
SKU-000001,Apparel,12,117.69,123.26,59.39,0,227
SKU-000001,Apparel,13,120.08,99.13,59.39,0,174
SKU-000001,Apparel,14,122.24,110.25,59.39,0,189
SKU-000001,Apparel,15,103.57,119.79,59.39,0,219
SKU-000001,Apparel,16,107.3,124.55,59.39,1,258
SKU-000001,Apparel,17,120.43,126.3,59.39,0,144
SKU-000001,Apparel,18,123.49,118.52,59.39,0,130
SKU-000001,Apparel,19,128.2,103.22,59.39,0,150
SKU-000001,Apparel,20,96.34,111.46,59.39,1,339
SKU-000001,Apparel,21,131.54,134.25,59.39,0,121
SKU-000001,Apparel,22,121.29,129.57,59.39,0,149
SKU-000001,Apparel,23,116.46,114.04,59.39,0,160
SKU-000001,Apparel,24,117.52,117.04,59.39,0,175
SKU-000001,Apparel,25,99.42,109.83,59.39,0,215
SKU-000002,Apparel,0,21.23,20.0,13.85,1,1199
SKU-000002,Apparel,1,20.48,21.32,13.85,1,932
SKU-000002,Apparel,2,21.64,21.83,13.85,0,780
SKU-000002,Apparel,3,22.28,24.17,13.85,0,676
SKU-000002,Apparel,4,17.95,19.99,13.85,0,970
SKU-000002,Apparel,5,23.56,23.45,13.85,1,1036
SKU-000002,Apparel,6,24.61,22.25,13.85,0,542
SKU-000002,Apparel,7,21.17,20.51,13.85,0,748
SKU-000002,Apparel,8,22.8,21.85,13.85,0,654
SKU-000002,Apparel,9,22.74,24.49,13.85,0,667
SKU-000002,Apparel,10,20.68,26.37,13.85,0,1050
SKU-000002,Apparel,11,27.5,21.03,13.85,0,418
SKU-000002,Apparel,12,23.51,23.45,13.85,0,619
SKU-000002,Apparel,13,19.13,22.16,13.85,0,834
SKU-000002,Apparel,14,21.21,23.59,13.85,0,693
SKU-000002,Apparel,15,22.94,22.62,13.85,0,531
SKU-000002,Apparel,16,21.15,23.16,13.85,0,658
SKU-000002,Apparel,17,19.46,24.1,13.85,0,677
SKU-000002,Apparel,18,21.79,21.46,13.85,0,501
SKU-000002,Apparel,19,19.97,20.98,13.85,0,614
SKU-000002,Apparel,20,19.78,22.47,13.85,0,816
SKU-000002,Apparel,21,19.09,23.33,13.85,0,617
SKU-000002,Apparel,22,22.91,24.32,13.85,0,502
SKU-000002,Apparel,23,24.44,22.74,13.85,0,450
SKU-000002,Apparel,24,21.95,23.62,13.85,0,654
SKU-000002,Apparel,25,21.13,20.58,13.85,0,785
SKU-000003,Apparel,0,133.16,110.75,77.18,0,234
SKU-000003,Apparel,1,123.09,118.47,77.18,0,314
SKU-000003,Apparel,2,143.34,152.31,77.18,0,368
