sku_id,category,current_price,cost,optimal_price,price_change_pct,current_units,predicted_units_at_optimal,current_profit,optimal_profit_estimate,predicted_elasticity,profit_lift_pct
SKU-010555,Jewelry,60.68,29.2,67.96,12.0,719,650.8,22634.12,25224.61,-0.88,11.445066121413161
SKU-010562,Jewelry,105.56,42.64,118.23,12.0,516,471.7,32466.72,35654.64,-0.792,9.81903931163972
SKU-010416,Jewelry,70.46,23.75,78.92,12.0,588,547.9,27465.48,30222.34,-0.624,10.037545311423646
SKU-010417,Jewelry,75.59,30.17,84.66,12.0,742,688.5,33701.64,37517.17,-0.66,11.321496520644093
SKU-010414,Jewelry,31.34,11.47,35.1,12.0,738,688.5,14664.06,16268.77,-0.613,10.943149441559852
SKU-010655,Jewelry,83.8,28.02,93.86,12.0,580,536.1,32352.4,35295.78,-0.694,9.097872182589217
SKU-010468,Jewelry,138.59,54.69,155.22,12.0,183,166.8,15353.7,16767.15,-0.819,9.20592430489069
SKU-010649,Jewelry,140.3,46.85,157.14,12.0,71,66.4,6634.95,7322.07,-0.592,10.356068998259227
SKU-010521,Jewelry,106.21,46.15,118.96,12.0,97,89.5,5825.82,6515.14,-0.711,11.832154100195357
SKU-010462,Jewelry,109.77,34.13,122.94,12.0,334,305.6,25263.76,27140.85,-0.784,7.429970835695077
SKU-010745,Jewelry,127.83,69.49,143.17,12.0,869,800.4,50697.46,58975.34,-0.725,16.32799749731051
SKU-010474,Jewelry,114.89,43.91,128.68,12.0,377,348.9,26759.46,29577.21,-0.683,10.529921007374599
SKU-010605,Jewelry,92.33,38.08,103.41,12.0,139,130.5,7540.75,8522.29,-0.56,13.016477140867956
SKU-010791,Jewelry,81.68,29.27,91.48,12.0,521,482.9,27305.61,30044.74,-0.669,10.031381829594732
SKU-010698,Jewelry,156.09,54.7,174.82,12.0,88,80.7,8922.32,9696.26,-0.762,8.67420132880239
SKU-010752,Jewelry,111.56,63.18,124.95,12.0,301,275.7,14562.38,17031.6,-0.773,16.956156891936615
SKU-010406,Jewelry,161.77,62.12,181.18,12.0,392,367.3,39062.8,43737.16,-0.573,11.966269699048704
SKU-010556,Jewelry,118.75,48.72,133.0,12.0,165,151.7,11554.95,12781.55,-0.744,10.615363978208459
SKU-010596,Jewelry,85.58,30.76,95.85,12.0,522,483.7,28616.04,31485.97,-0.672,10.029095570176727
SKU-010746,Jewelry,170.33,64.39,190.77,12.0,110,104.4,11653.4,13197.13,-0.459,13.247035200027458
SKU-010740,Jewelry,148.58,69.67,166.41,12.0,970,902.9,76542.7,87350.42,-0.632,14.119857282275117
SKU-010513,Jewelry,148.8,61.08,166.66,12.0,1318,1222.0,115614.96,129014.07,-0.667,11.589425797491959
SKU-010506,Jewelry,77.25,34.2,86.52,12.0,241,225.4,10375.05,11791.92,-0.591,13.656512498734962
SKU-010613,Jewelry,61.96,22.42,69.4,12.0,967,887.0,38235.18,41669.12,-0.762,8.981100651285034
SKU-010706,Jewelry,136.11,56.34,152.44,12.0,348,322.6,27759.96,31003.56,-0.669,11.684454876736151
SKU-010425,Jewelry,97.92,37.22,109.67,12.0,437,401.8,26525.9,29110.77,-0.741,9.744702347516942
SKU-010514,Jewelry,211.69,73.17,237.09,12.0,602,542.8,83389.04,88981.73,-0.913,6.706744675319443
SKU-010660,Jewelry,41.41,15.99,46.38,12.0,566,528.8,14387.72,16070.01,-0.6,11.692540583219579
SKU-010699,Jewelry,52.14,19.05,58.4,12.0,88,81.5,2911.92,3205.1,-0.682,10.06827110634907
SKU-010691,Jewelry,110.39,37.65,123.64,12.0,429,392.0,31205.46,33703.38,-0.797,8.00475301437633
SKU-010402,Jewelry,89.97,30.74,100.77,12.0,190,175.6,11253.7,12300.1,-0.693,9.298275233923059
SKU-010469,Jewelry,145.24,52.35,162.67,12.0,487,448.6,45237.43,49488.53,-0.725,9.397306610919308
SKU-010799,Jewelry,57.17,24.33,64.03,12.0,637,589.6,20919.08,23405.42,-0.683,11.88551312964048
SKU-010604,Jewelry,67.09,25.68,75.14,12.0,169,156.4,6998.29,7734.98,-0.684,10.526714383085011
SKU-010654,Jewelry,32.46,13.39,36.36,12.0,302,283.0,5759.14,6498.97,-0.574,12.846188840694971
SKU-010510,Jewelry,110.05,38.65,123.26,12.0,340,320.0,24276.0,27077.1,-0.534,11.538556599110228
SKU-010612,Jewelry,36.91,14.92,41.34,12.0,137,130.3,3012.63,3441.9,-0.444,14.249011660907573
SKU-010657,Jewelry,162.06,61.27,181.51,12.0,168,157.6,16932.72,18952.2,-0.563,11.926494975408563
SKU-010748,Jewelry,164.65,68.55,184.41,12.0,588,541.1,56506.8,62696.15,-0.733,10.953283498623168
SKU-010518,Jewelry,110.24,47.17,123.47,12.0,479,444.4,30210.53,33910.71,-0.661,12.247981084740989
SKU-010466,Jewelry,106.26,46.53,119.01,12.0,643,585.5,38406.39,42437.66,-0.827,10.496352299708466
SKU-010509,Jewelry,137.61,65.16,154.12,12.0,859,769.1,62234.55,68424.76,-0.975,9.94658111933
SKU-010651,Jewelry,80.95,37.92,90.66,12.0,269,252.8,11575.07,13334.89,-0.547,15.203536566085551
SKU-010472,Jewelry,16.32,5.39,18.28,12.0,395,366.4,4317.35,4722.5,-0.663,9.384228751433167
SKU-010511,Jewelry,148.57,64.32,166.4,12.0,307,281.5,25864.75,28731.1,-0.766,11.082071158623208
SKU-010694,Jewelry,129.5,47.62,145.04,12.0,785,719.4,64275.8,70083.52,-0.77,9.035624605216896
SKU-010599,Jewelry,189.01,60.38,211.69,12.0,506,465.6,65086.78,70447.36,-0.735,8.236050393029126
SKU-010794,Jewelry,30.08,12.85,33.69,12.0,1106,1022.6,19056.38,21310.6,-0.692,11.829214152950328
SKU-010419,Jewelry,158.12,62.57,177.09,12.0,471,436.6,45004.05,50001.51,-0.669,11.10446726461285
SKU-010610,Jewelry,30.52,12.82,34.18,12.0,715,653.0,12655.5,13948.96,-0.801,10.22053652562127
SKU-010696,Jewelry,121.74,54.66,136.35,12.0,595,540.1,39912.6,44123.83,-0.853,10.551129217339895
SKU-010750,Jewelry,189.47,64.34,212.21,12.0,137,126.4,17142.81,18688.96,-0.711,9.019233136224436
SKU-010408,Jewelry,63.6,26.22,71.23,12.0,715,666.4,26726.7,29995.75,-0.621,12.231401557244247
SKU-010422,Jewelry,50.14,17.76,56.16,12.0,287,274.0,9293.06,10520.77,-0.409,13.211041357744403
SKU-010797,Jewelry,91.92,36.7,102.95,12.0,214,195.5,11817.08,12952.7,-0.797,9.609988254289558
SKU-010404,Jewelry,155.77,64.85,174.46,12.0,423,390.1,38459.16,42760.12,-0.714,11.18318756831922
SKU-010412,Jewelry,177.19,56.33,198.45,12.0,368,340.0,44476.48,48318.09,-0.699,8.637396664484221
SKU-010558,Jewelry,28.57,9.55,32.0,12.0,346,328.3,6580.92,7369.43,-0.464,11.981759389264734
SKU-010601,Jewelry,146.74,56.98,164.35,12.0,118,107.4,10591.68,11527.43,-0.834,8.834764645457561
SKU-010553,Jewelry,34.86,15.76,39.04,12.0,575,529.5,10982.5,12328.24,-0.728,12.253494195310722
SKU-010695,Jewelry,70.95,24.45,79.46,12.0,439,410.9,20413.5,22606.49,-0.583,10.742841746883203
SKU-010517,Jewelry,21.01,8.49,23.53,12.0,453,419.5,5671.56,6309.98,-0.678,11.256514962373654
SKU-010652,Jewelry,177.91,65.05,199.26,12.0,761,702.0,85886.46,94215.91,-0.712,9.698210870491097
SKU-010420,Jewelry,87.46,36.37,97.96,12.0,768,715.1,39237.12,44038.86,-0.63,12.237748336269316
SKU-010600,Jewelry,105.31,43.31,117.95,12.0,1418,1312.6,87916.0,97966.06,-0.682,11.431434551162468
SKU-010749,Jewelry,66.28,28.9,74.23,12.0,396,371.7,14802.48,16850.14,-0.559,13.83322254108772
